term_en,term_cn,category,notes
free solo,无保护单人攀岩,极限运动,不加装备徒手攀岩；区别于 free climbing
nuclear submarine,核潜艇,军事装备,
decommissioned,退役/报废,通用,军舰/核设施退役语境
wreck,沉船残骸,海洋/考古,
salvage,打捞,海洋/考古,
deep sea trench,海沟,深海,
abyssal zone,深渊带,深海,水深4000-6000米
mariana trench,马里亚纳海沟,深海,
submersible,潜水器/载人深潜器,深海,
pressure hull,耐压壳体,深海/工程,
hypoxia,缺氧/低氧,医学/登山,
altitude sickness,高原反应,登山,
avalanche,雪崩,登山/灾害,
crevasse,冰裂缝,登山/冰川,
glacier,冰川,地理,
permafrost,永久冻土,地理/气候,
nuclear reactor,核反应堆,能源/军事,
containment,安全壳/封堵,核工业,
radiation dose,辐射剂量,核工业,
sievert,希沃特,核工业,辐射剂量单位 Sv
Chernobyl,切尔诺贝利,核工业/灾难,
Fukushima,福岛,核工业/灾难,
biohazard,生物危害,医疗/安全,
containment lab,生物安全实验室,医疗,
P4 lab,四级生物安全实验室,医疗,
quarantine,隔离检疫,医疗,
pathogen,病原体,医疗,
antimicrobial resistance,抗生素耐药性,医疗,
superbug,超级细菌,医疗,
black market,黑市,社会,
smuggling,走私,社会/犯罪,
counterfeit,假冒伪劣,社会,
endangered species,濒危物种,生态,
poaching,盗猎,生态/犯罪,
wildlife trafficking,野生动物走私,生态/犯罪,
ivory,象牙,生态,
pangolin,穿山甲,生态,
conservation,保护/保育,生态,
rewilding,野化放归,生态,
keystone species,关键物种,生态,
coral bleaching,珊瑚白化,生态/海洋,
overfishing,过度捕捞,生态/海洋,
ghost net,幽灵渔网,生态/海洋,
shark fin,鱼翅,生态/海洋,
orca,虎鲸,海洋生物,
sperm whale,抹香鲸,海洋生物,
great white shark,大白鲨,海洋生物,
polar bear,北极熊,极地,
permafrost thaw,冻土融化,气候,
methane release,甲烷释放,气候,
sea level rise,海平面上升,气候,
carbon capture,碳捕集,气候/工程,
geothermal,地热,能源,
thorium,钍,核工业,钍反应堆
enriched uranium,浓缩铀,核工业,
centrifuge,离心机,核工业,
weapons grade,武器级,核工业/军事,
intercontinental ballistic missile,洲际弹道导弹,军事,
ICBM,洲际弹道导弹,军事,
ballistic missile submarine,弹道导弹核潜艇,军事,
sonar,声呐,军事/海洋,
active sonar,主动声呐,军事,
passive sonar,被动声呐,军事,
stealth,隐身/隐形,军事,
radar cross section,雷达反射截面,军事,
stealth bomber,隐身轰炸机,军事,
fighter jet,战斗机,军事,
afterburner,加力燃烧室,航空,
ejection seat,弹射座椅,航空,
test pilot,试飞员,航空,
aerobatics,特技飞行,航空,
hypersonic,高超音速,航空/军事,
space debris,太空垃圾,航天,
space station,空间站,航天,
spacewalk,太空行走,航天,
reentry,再入大气层,航天,
heat shield,隔热罩,航天,
titanium,钛合金,材料,
composite material,复合材料,材料,
carbon fiber,碳纤维,材料,
kevlar,凯夫拉,材料,
